"x","y","path","block_id","ring","segment"
6.449444,0.8091152,9,455,7,17
6.45617,0.7535749,10,455,7,17
6.462416,0.6979788,11,455,7,17
6.710971,0.7248241,12,455,7,17
6.704484,0.7825585,13,455,7,17
6.6975,0.840235,14,455,7,17
6.69002,0.8978493,15,455,7,17
6.682044,0.955397,16,455,7,17
6.673574,1.012874,17,455,7,17
6.664609,1.070276,18,455,7,17
6.65515,1.127598,19,455,7,17
6.645198,1.184838,20,455,7,17
6.634754,1.241989,21,455,7,17
6.623819,1.299048,22,455,7,17
6.462416,0.6979788,1,456,7,18
6.468185,0.6423309,2,456,7,18
6.473473,0.5866355,3,456,7,18
6.478283,0.5308966,4,456,7,18
6.482612,0.4751183,5,456,7,18
6.486462,0.4193049,6,456,7,18
6.48983,0.3634604,7,456,7,18
6.492718,0.307589,8,456,7,18
6.495125,0.2516948,9,456,7,18
6.497051,0.195782,10,456,7,18
6.498495,0.1398546,11,456,7,18
6.748437,0.1452337,12,456,7,18
6.746937,0.2033121,13,456,7,18
6.744938,0.2613754,14,456,7,18
6.742438,0.3194194,15,456,7,18
6.739439,0.3774397,16,456,7,18
6.735941,0.435432,17,456,7,18
6.731944,0.4933921,18,456,7,18
6.727448,0.5513157,19,456,7,18
6.722453,0.6091984,20,456,7,18
6.716961,0.6670359,21,456,7,18
6.710971,0.7248241,22,456,7,18
6.498495,0.1398546,1,457,7,19
6.499458,0.08391692,2,457,7,19
6.49994,0.027973,3,457,7,19
6.49994,-0.027973,4,457,7,19
6.499458,-0.08391692,5,457,7,19
6.498495,-0.1398546,6,457,7,19
6.497051,-0.195782,7,457,7,19
6.495125,-0.2516948,8,457,7,19
6.492718,-0.307589,9,457,7,19
6.48983,-0.3634604,10,457,7,19
6.486462,-0.4193049,11,457,7,19
6.735941,-0.435432,12,457,7,19
6.739439,-0.3774397,13,457,7,19
6.742438,-0.3194194,14,457,7,19
6.744938,-0.2613754,15,457,7,19
6.746937,-0.2033121,16,457,7,19
6.748437,-0.1452337,17,457,7,19
6.749437,-0.0871445,18,457,7,19
6.749937,-0.02904888,19,457,7,19
6.749937,0.02904888,20,457,7,19
6.749437,0.0871445,21,457,7,19
6.748437,0.1452337,22,457,7,19
6.486462,-0.4193049,1,458,7,20
6.482612,-0.4751183,2,458,7,20
6.478283,-0.5308966,3,458,7,20
6.473473,-0.5866355,4,458,7,20
6.468185,-0.6423309,5,458,7,20
6.462416,-0.6979788,6,458,7,20
6.45617,-0.7535749,7,458,7,20
6.449444,-0.8091152,8,458,7,20
6.442241,-0.8645956,9,458,7,20
6.434561,-0.9200119,10,458,7,20
6.426404,-0.9753601,11,458,7,20
6.673574,-1.012874,12,458,7,20
6.682044,-0.955397,13,458,7,20
6.69002,-0.8978493,14,458,7,20
6.6975,-0.840235,15,458,7,20
6.704484,-0.7825585,16,458,7,20
6.710971,-0.7248241,17,458,7,20
6.716961,-0.6670359,18,458,7,20
6.722453,-0.6091984,19,458,7,20
6.727448,-0.5513157,20,458,7,20
6.731944,-0.4933921,21,458,7,20
6.735941,-0.435432,22,458,7,20
6.426404,-0.9753601,1,459,7,21
6.417771,-1.030636,2,459,7,21
6.408663,-1.085836,3,459,7,21
6.39908,-1.140955,4,459,7,21
6.389023,-1.195989,5,459,7,21
6.378492,-1.250935,6,459,7,21
6.367489,-1.305789,7,459,7,21
6.356014,-1.360545,8,459,7,21
6.344069,-1.415201,9,459,7,21
6.331653,-1.469752,10,459,7,21
6.318768,-1.524194,11,459,7,21
